,plateifu,mangaid,objra,objdec,T,type,TType-cat,VI_morph,WHAN_Class
263,8154-6102,1-37167,44.16958925,-0.245663318,2.536,Sab,Huertas,Spiral,PSF
264,8154-9102,1-603941,45.96024802,-0.204456525,5.223,Scd,Huertas,Spiral,SFBQB
265,8155-12704,1-38713,53.17033611,0.245738937,3.143,Sab,Huertas,Spiral,PSF
266,8155-3701,1-38612,52.77892683,-0.915973761,5.089,Scd,Huertas,Spiral,PSF
267,8239-6101,1-378327,115.3040684,47.67147842,5.344,Scd,Huertas,Spiral,PSF
268,8241-12705,1-605282,127.6320083,18.2061099,2.394,Sab,Huertas,Spiral,SFB
269,8241-6102,1-460288,126.0596334,17.33195052,4.825,Scd,Huertas,Spiral,SFBQB
270,8241-9101,1-460840,126.8980192,17.91850881,0.433,S0,Huertas,Spiral,SFB
271,8243-12705,1-47765,131.614974,53.04563999,3.184,Sab,Huertas,Spiral,PSF
272,8244-3702,1-47608,131.8150073,51.24580591,3.488,Sab,Huertas,Spiral,SFB
273,8247-3701,1-585433,136.67142,41.365107,2.174388409,Sab,SDSS-DeepLearning,Spiral,QB
274,8249-12703,1-137908,139.559191,45.6516889,3.77,Sab,Huertas,Spiral,SFBQB
275,8249-6101,1-155463,137.5624565,46.29326966,2.259,Sab,Huertas,Spiral,SFBQB
276,8250-12703,1-137912,139.6477435,44.59673701,2.126,Sab,Huertas,Spiral,PSF
277,8250-6101,1-217221,138.75315,42.02438975,0.69,Sab,Huertas,Spiral,PSF
278,8250-6102,1-217210,138.9026162,42.15722314,5.138,Scd,Huertas,Spiral,SFB
279,8252-12704,1-185287,145.9438357,48.29071346,2.557,Sab,Huertas,Spiral,PSF
280,8252-3702,1-156011,144.059863,48.74569769,-1.246,S0,Huertas,Spiral,LSN
281,8253-6104,1-255248,158.2514248,42.92842262,-0.053,S0,Huertas,Spiral,QB
282,8254-12703,1-276761,162.0512761,45.59528997,2.888,Sab,Huertas,Spiral,PSF
283,8257-12701,1-277290,165.4958184,45.22802434,3.814,Sab,Huertas,Spiral,SFBQB
284,8257-3703,1-278062,166.6557003,46.03877757,2.477,Sab,Huertas,Spiral,SFBQB
285,8257-6103,1-277453,164.6420958,45.81253498,2.248,Sab,Huertas,Spiral,QB
286,8258-12703,1-256574,168.1188267,44.15864995,5.031,Scd,Huertas,Spiral,SFBQB
287,8258-12705,1-256002,167.1543766,43.00423735,2.806,Sab,Huertas,Spiral,SFBQB
